RUN_NAME	POOL	TAG	RAW_READS	QUALITY_PASSED	PHIX_MAPPING	PLASMID_MAPPED_BYPOOL	BARCODE_MUX	LTR_IDENTIFIED	TRIMMING_FINAL_LTRLC	LV_MAPPED	BWA_MAPPED_OVERALL	ISS_MAPPED_OVERALL	ISS_MAPPED_PP
VA|CLOEXP|POOL6-1	POOL6-1	LTR1.LC1	522791964	301556237	168742122	378378	3966084	3966084	3951429	1725784	2032565	1484940	1484928
VA|CLOEXP|POOL6-1	POOL6-1	LTR2.LC2	522791964	301556237	168742122	378378	4331589	4331589	4309204	1875175	2245946	1582219	1582204
VA|CLOEXP|POOL6-1	POOL6-1	LTR3.LC3	522791964	301556237	168742122	378378	2873184	2873184	2867676	1344344	1444289	1048200	1048195
VA|CLOEXP|POOL6-1	POOL6-1	LTR4.LC4	522791964	301556237	168742122	378378	2164511	2164511	2157152	963899	1090728	739945	739942
VA|CLOEXP|POOL6-1	POOL6-1	LTR5.LC5	522791964	301556237	168742122	378378	1828352	1827778	1823923	851470	925376	674415	674412
VA|CLOEXP|POOL6-1	POOL6-1	LTR6.LC6	522791964	301556237	168742122	378378	3026865	3026865	3018338	1335832	1580359	1117051	1117047
VA|CLOEXP|POOL6-1	POOL6-1	LTR7.LC7	522791964	301556237	168742122	378378	1782173	1782172	1776372	743703	966212	717671	717666
VA|CLOEXP|POOL6-1	POOL6-1	LTR8.LC8	522791964	301556237	168742122	378378	2206460	2206460	2199742	923247	1189475	909582	909573
VA|CLOEXP|POOL6-1	POOL6-1	LTR9.LC9	522791964	301556237	168742122	378378	1930212	1930212	1923530	789076	1040281	792431	792424
VA|CLOEXP|POOL6-1	POOL6-1	LTR10.LC10	522791964	301556237	168742122	378378	2227065	2227065	2223371	988532	1187238	1078127	1078124
VA|CLOEXP|POOL6-1	POOL6-1	LTR11.LC11	522791964	301556237	168742122	378378	2126565	2126565	2119947	890734	1132558	873194	873189
VA|CLOEXP|POOL6-1	POOL6-1	LTR12.LC12	522791964	301556237	168742122	378378	1756121	1756121	1752317	887779	810139	629145	629145
VA|CLOEXP|POOL6-1	POOL6-1	LTR13.LC13	522791964	301556237	168742122	378378	2283523	2283523	2273589	890739	1271189	898106	898073
VA|CLOEXP|POOL6-1	POOL6-1	LTR14.LC14	522791964	301556237	168742122	378378	3309718	3309718	3297432	1416114	1748869	1294345	1294320
VA|CLOEXP|POOL6-1	POOL6-1	LTR15.LC15	522791964	301556237	168742122	378378	2542878	2542878	2533656	1106132	1323366	990320	990301
VA|CLOEXP|POOL6-1	POOL6-1	LTR16.LC16	522791964	301556237	168742122	378378	3537000	3536987	3524506	1612561	1762738	1313983	1313977
VA|CLOEXP|POOL6-1	POOL6-1	LTR17.LC17	522791964	301556237	168742122	378378	1227742	1227728	1221319	519818	642256	466561	466558
VA|CLOEXP|POOL6-1	POOL6-1	LTR18.LC18	522791964	301556237	168742122	378378	2182928	2182928	2172312	939581	1126735	795995	795994
VA|CLOEXP|POOL6-1	POOL6-1	LTR20.LC20	522791964	301556237	168742122	378378	1710609	1710609	1703026	727986	894054	651917	651909
VA|CLOEXP|POOL6-1	POOL6-1	LTR21.LC21	522791964	301556237	168742122	378378	2157491	2157491	2151452	980362	1093064	797097	797092
VA|CLOEXP|POOL6-1	POOL6-1	LTR22.LC22	522791964	301556237	168742122	378378	2725504	2725497	2713387	1230447	1350013	935237	935236
VA|CLOEXP|POOL6-1	POOL6-1	LTR23.LC23	522791964	301556237	168742122	378378	1633305	1633256	1627703	731549	847088	591508	591507
VA|CLOEXP|POOL6-1	POOL6-1	LTR24.LC24	522791964	301556237	168742122	378378	3267398	3267398	3260900	1492122	1659085	1164200	1164194
VA|CLOEXP|POOL6-1	POOL6-1	LTR25.LC25	522791964	301556237	168742122	378378	1272575	1272574	1268025	591877	622354	416062	416061
VA|CLOEXP|POOL6-1	POOL6-1	LTR26.LC26	522791964	301556237	168742122	378378	3190048	3190048	3176262	1452325	1582071	1135253	1135243
VA|CLOEXP|POOL6-1	POOL6-1	LTR27.LC27	522791964	301556237	168742122	378378	1539524	1539524	1534907	675004	804227	614753	614748
VA|CLOEXP|POOL6-1	POOL6-1	LTR28.LC28	522791964	301556237	168742122	378378	2082302	2082302	2079106	854027	1173053	954024	954014
VA|CLOEXP|POOL6-1	POOL6-1	LTR29.LC29	522791964	301556237	168742122	378378	1308054	1308054	1306462	537675	737745	681962	681958
